správce;plocha;m2;ha;lon;lat;nejbližší názvy
Jaroslav Kučera KU-KU s r.o.;1;78723.0;7.8723;13.2630806;50.3794261;Budovatelů, Pionýrů, Klášterecká
Jaroslav Kučera KU-KU s r.o.;2;68299.42;6.8299;13.2704262;50.3881219;Chomutovská, Golovinova, Jana Roháče
Jaroslav Kučera KU-KU s r.o.;3;15074.71;1.5075;13.2674224;50.3782906;Komenského, Fibichova, Jungmannova, Jana Švermy
Jaroslav Kučera KU-KU s r.o.;4;10143.51;1.0144;13.2715057;50.3793669;5. května, Školní, kpt. Jaroše, Na Příkopě, Boženy Němcové
Jaroslav Kučera KU-KU s r.o.;5;9426.74;0.9427;13.2654005;50.3671957;Kadaňská Jeseň
Jaroslav Kučera KU-KU s r.o.;6;8814.85;0.8815;13.2688142;50.3793242;Jungmannova, kpt. Jaroše, Komenského, Fibichova, 5. května, Dvořákova
Jaroslav Kučera KU-KU s r.o.;7;6025.19;0.6025;13.2672445;50.3796454;Fibichova, Klášterecká, Jungmannova, Budovatelů
Jaroslav Kučera KU-KU s r.o.;8;5220.15;0.522;13.2717529;50.3886838;Chomutovská, Z-Box, Bystřická, U Stadionu, Česká hospoda Kadaň, GLS Parcel Box
Jaroslav Kučera KU-KU s r.o.;9;4984.8;0.4985;13.2684884;50.3777788;Komenského, Studentské náměstí, Jana Švermy
Jaroslav Kučera KU-KU s r.o.;10;3219.53;0.322;13.269214;50.3693125;Pokutická, Rokelská
Jaroslav Kučera KU-KU s r.o.;11;1918.85;0.1919;13.2720002;50.3783996;Na Příkopě, Boženy Němcové, Pastýřská studánka, Hasičský sbor města Kadaně, Löschnerovo náměstí
Jaroslav Kučera KU-KU s r.o.;12;1786.38;0.1786;13.2670288;50.3662842;Kadaňská Jeseň
Jaroslav Kučera KU-KU s r.o.;13;1598.96;0.1599;13.2711225;50.378404;Na Příkopě, Boženy Němcové, kpt. Jaroše, Komenského, Löschnerovo náměstí
Jaroslav Kučera KU-KU s r.o.;14;1360.84;0.1361;13.2702409;50.3785755;Komenského, kpt. Jaroše, Na Příkopě, Löschnerovo náměstí, Boženy Němcové
Jaroslav Kučera KU-KU s r.o.;15;1195.81;0.1196;13.2724835;50.3774913;Katova ulička, Na Příkopě, Pastýřská studánka
Jaroslav Kučera KU-KU s r.o.;16;1124.18;0.1124;13.2664786;50.3771045;Raisova, Jana Švermy, Potraviny, Jungmannova
Jaroslav Kučera KU-KU s r.o.;17;967.86;0.0968;13.2687652;50.3730444;Pokutická, Nábřeží Maxipsa Fíka, Loděnice Kadaň, Zajícův převis, Říční
Jaroslav Kučera KU-KU s r.o.;18;926.3;0.0926;13.2727139;50.3799508;5. května, Školní, Koželužská, kpt. Jaroše
Jaroslav Kučera KU-KU s r.o.;19;919.71;0.092;13.2607021;50.3796482;Pionýrů, Budovatelů, Jana Švermy
Jaroslav Kučera KU-KU s r.o.;20;869.6;0.087;13.2614584;50.3785557;Jana Švermy, Pionýrů
Jaroslav Kučera KU-KU s r.o.;21;439.57;0.044;13.2668925;50.3786245;Jungmannova, Klášterecká, Budovatelů
Jaroslav Kučera KU-KU s r.o.;22;353.28;0.0353;13.2670249;50.3767979;Nerudova, Jiráskova, Jana Švermy, Potraviny, Komenského
Jaroslav Kučera KU-KU s r.o.;23;346.82;0.0347;13.2626259;50.3802397;Pionýrů, Budovatelů
Jaroslav Kučera KU-KU s r.o.;24;294.24;0.0294;13.264261;50.3778818;Jana Švermy, Březinova, Havlíčkova, Jungmannova, Raisova
